Plot_ID,Date,stage,B2,B3,B4,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,VV,VH
100,24-01-2019,EVS,0.1720028,0.1533764,0.1282067,0.1493476,0.1942329,0.208754,0.1837544,0.2086325,0.1014216,0.0560653,-9.876,-23.166
67,30-03-2019,ERS,0.1209607,0.1116599,0.0828884,0.1129988,0.253488,0.3513036,0.3386646,0.3890955,0.1740307,0.0826626,-9.974,-16.686
96,23-02-2018,MVS,0.1220286,0.1100009,0.0842574,0.1118544,0.2000783,0.23891,0.2248183,0.2523245,0.1570599,0.0798869,-9.007,-17.205
62,14-01-2018,EVS,0.1398458,0.1221734,0.1074626,0.1141042,0.1212002,0.1318907,0.1148578,0.1256372,0.0415697,0.0222986,-12.502,-23.403
93,24-04-2018,LRS,0.1136054,0.1060929,0.0837071,0.1116231,0.2296538,0.3043385,0.2943195,0.3411462,0.1892846,0.0964,-7.98,-19.362
16,14-04-2019,LRS,0.1171591,0.1128081,0.0892163,0.1267416,0.2518255,0.3176742,0.3015629,0.3503209,0.1773444,0.090021,-13.393,-18.999
50,23-02-2018,MVS,0.1145886,0.1005842,0.0690153,0.0928609,0.2647167,0.4068674,0.3901048,0.4375763,0.1769708,0.0757897,-13.471,-18.847
94,04-05-2019,MS,0.1538053,0.1614197,0.2019592,0.236815,0.287098,0.3273462,0.3218227,0.3747035,0.4157217,0.2722607,-12.289,-21.094
35,30-03-2019,ERS,0.1205036,0.1088345,0.0784981,0.1055875,0.2430992,0.3547786,0.3446599,0.3934272,0.1497858,0.065372,-10.269,-20.517
94,24-04-2018,MS,0.1166354,0.109944,0.0924812,0.1189616,0.2206647,0.2809432,0.2677088,0.3130582,0.1940938,0.1023472,-7.066,-14.831
44,14-04-2019,LRS,0.1197008,0.1219839,0.0885896,0.1386126,0.3176451,0.4115213,0.4102525,0.4548408,0.2220787,0.1088554,-13.416,-18.857
1,14-01-2018,EVS,0.1360423,0.117051,0.0985547,0.1130182,0.1367993,0.1528837,0.1370626,0.1564981,0.0841471,0.0461898,-9.386,-15.665
21,05-03-2018,LVS,0.1130684,0.0981318,0.0692892,0.0899791,0.246394,0.3875751,0.3766507,0.4211234,0.1676436,0.0711883,-13.953,-17.728
